timestamp,symbol,buy_ex,buy,sell_ex,sell,edge_pct
2025-09-10T16:12:25.506704+00:00,BTC/USD,bitfinex,113730.0,bitstamp,113776.0,0.04044667194231953
2025-09-10T16:12:25.506704+00:00,XRP/USD,kraken,2.99241,bitstamp,2.99426,0.06182307905668439
2025-09-10T16:14:24.303647+00:00,BTC/USD,bitfinex,113690.0,bitstamp,113771.0,0.07124637171255167
2025-09-10T16:14:24.303647+00:00,XRP/USD,kraken,2.99192,bitstamp,2.9942,0.07620524612958507
2025-09-10T16:16:24.165020+00:00,BTC/USD,bitfinex,113700.0,bitstamp,113811.0,0.09762532981530343
2025-09-10T16:16:24.165020+00:00,XRP/USD,kraken,2.99489,bitstamp,2.99728,0.0798025970903811
2025-09-10T16:18:26.580589+00:00,BTC/USD,bitfinex,113730.0,coinbase,113758.18,0.024777982942049605
2025-09-10T16:18:26.580589+00:00,XRP/USD,bitfinex,2.9924,kraken,2.99327,0.029073653254909987
2025-09-10T16:20:24.237955+00:00,BTC/USD,bitfinex,113670.0,coinbase,113705.24,0.03100202340107789
2025-09-10T16:20:24.237955+00:00,XRP/USD,kraken,2.99146,bitstamp,2.9928,0.044794180767915893
2025-09-10T16:22:23.489644+00:00,BTC/USD,kraken,113647.5,coinbase,113715.65,0.059966123319909526
2025-09-10T16:22:23.489644+00:00,XRP/USD,kraken,2.9918,coinbase,2.9932,0.0467945718296626
2025-09-10T16:24:24.054195+00:00,BTC/USD,bitfinex,113670.0,bitstamp,113750.0,0.07037916776634116
2025-09-10T16:24:24.054195+00:00,XRP/USD,kraken,2.99237,coinbase,2.9947,0.07786470256016872
2025-09-10T16:26:23.517823+00:00,BTC/USD,bitfinex,113650.0,kraken,113705.4,0.04874615046193945
2025-09-10T16:26:23.517823+00:00,XRP/USD,bitstamp,2.99127,coinbase,2.992,0.02440434999180607
2025-09-10T16:28:24.251139+00:00,BTC/USD,bitfinex,113650.0,coinbase,113679.34,0.025816102067748797
2025-09-10T16:28:24.251139+00:00,XRP/USD,bitfinex,2.9971,kraken,2.99923,0.07106869974307642
2025-09-10T16:30:23.857058+00:00,BTC/USD,bitfinex,113650.0,bitstamp,113705.0,0.04839419269687637
2025-09-10T16:30:23.857058+00:00,XRP/USD,bitfinex,2.9982,kraken,3.00002,0.060703088519776294
2025-09-10T16:32:24.659123+00:00,BTC/USD,bitstamp,113641.0,kraken,113681.3,0.035462553127834945
2025-09-10T16:32:24.659123+00:00,XRP/USD,bitstamp,2.99583,kraken,2.99774,0.06375528651491019
2025-09-10T16:34:24.504366+00:00,BTC/USD,bitfinex,113600.0,bitstamp,113629.0,0.025528169014084508
2025-09-10T16:34:24.504366+00:00,XRP/USD,bitstamp,2.99505,kraken,2.99596,0.03038346605232595
2025-09-10T16:36:23.762415+00:00,BTC/USD,bitfinex,113600.0,kraken,113624.7,0.02174295774647631
2025-09-10T16:36:23.762415+00:00,XRP/USD,bitfinex,2.9953,kraken,2.99676,0.048743030748180115
2025-09-10T16:38:24.542971+00:00,BTC/USD,bitfinex,113590.0,coinbase,113684.0,0.0827537635355225
2025-09-10T16:38:24.542971+00:00,XRP/USD,bitfinex,2.9933,kraken,2.99647,0.10590318377709869
2025-09-10T16:40:32.615764+00:00,BTC/USD,bitfinex,113590.0,bitstamp,113651.0,0.053701910379434815
2025-09-10T16:40:32.615764+00:00,XRP/USD,bitfinex,2.9933,kraken,2.99501,0.057127584939702006
2025-09-10T16:42:24.292492+00:00,BTC/USD,bitfinex,113600.0,bitstamp,113720.0,0.10563380281690139
2025-09-10T16:42:24.292492+00:00,XRP/USD,bitfinex,2.998,kraken,2.99964,0.054703135423603784
2025-09-10T16:44:24.332052+00:00,BTC/USD,bitfinex,113740.0,coinbase,113774.92,0.03070160014067017
2025-09-10T16:44:24.332052+00:00,XRP/USD,bitfinex,2.9989,kraken,3.0,0.0366801160425523
2025-09-10T16:46:24.094893+00:00,BTC/USD,bitfinex,113680.0,kraken,113699.4,0.017065446868397414
