timestamp,symbol,min_ex,min_price,max_ex,max_price,spread_abs,spread_pct
2025-09-10T16:20:24.237955+00:00,XRP/USD,kraken,2.99146,bitstamp,2.9928,0.0013399999999998968,0.044794180767915893
2025-09-10T16:20:24.237955+00:00,BTC/USD,bitfinex,113670.0,coinbase,113705.24,35.24000000000524,0.03100202340107789
2025-09-10T16:22:23.489644+00:00,BTC/USD,kraken,113647.5,coinbase,113715.65,68.14999999999418,0.059966123319909526
2025-09-10T16:22:23.489644+00:00,XRP/USD,kraken,2.9918,coinbase,2.9932,0.0013999999999998458,0.0467945718296626
2025-09-10T16:24:24.054195+00:00,XRP/USD,kraken,2.99237,coinbase,2.9947,0.002329999999999721,0.07786470256016872
2025-09-10T16:24:24.054195+00:00,BTC/USD,bitfinex,113670.0,bitstamp,113750.0,80.0,0.07037916776634116
2025-09-10T16:26:23.517823+00:00,BTC/USD,bitfinex,113650.0,kraken,113705.4,55.39999999999418,0.04874615046193945
2025-09-10T16:26:23.517823+00:00,XRP/USD,bitstamp,2.99127,coinbase,2.992,0.0007299999999998974,0.02440434999180607
2025-09-10T16:28:24.251139+00:00,XRP/USD,bitfinex,2.9971,kraken,2.99923,0.002129999999999743,0.07106869974307642
2025-09-10T16:28:24.251139+00:00,BTC/USD,bitfinex,113650.0,coinbase,113679.34,29.339999999996508,0.025816102067748797
2025-09-10T16:30:23.857058+00:00,XRP/USD,bitfinex,2.9982,kraken,3.00002,0.0018199999999999328,0.060703088519776294
2025-09-10T16:30:23.857058+00:00,BTC/USD,bitfinex,113650.0,bitstamp,113705.0,55.0,0.04839419269687637
2025-09-10T16:32:24.659123+00:00,XRP/USD,bitstamp,2.99583,kraken,2.99774,0.0019099999999996342,0.06375528651491019
2025-09-10T16:32:24.659123+00:00,BTC/USD,bitstamp,113641.0,kraken,113681.3,40.30000000000291,0.035462553127834945
2025-09-10T16:34:24.504366+00:00,XRP/USD,bitstamp,2.99505,kraken,2.99596,0.0009100000000001884,0.03038346605232595
2025-09-10T16:34:24.504366+00:00,BTC/USD,bitfinex,113600.0,bitstamp,113629.0,29.0,0.025528169014084508
2025-09-10T16:36:23.762415+00:00,XRP/USD,bitfinex,2.9953,kraken,2.99676,0.0014600000000002389,0.048743030748180115
2025-09-10T16:36:23.762415+00:00,BTC/USD,bitfinex,113600.0,kraken,113624.7,24.69999999999709,0.02174295774647631
2025-09-10T16:38:24.542971+00:00,XRP/USD,bitfinex,2.9933,kraken,2.99647,0.003169999999999895,0.10590318377709869
2025-09-10T16:38:24.542971+00:00,BTC/USD,bitfinex,113590.0,coinbase,113684.0,94.0,0.0827537635355225
2025-09-10T16:40:32.615764+00:00,XRP/USD,bitfinex,2.9933,kraken,2.99501,0.0017100000000001003,0.057127584939702006
2025-09-10T16:40:32.615764+00:00,BTC/USD,bitfinex,113590.0,bitstamp,113651.0,61.0,0.053701910379434815
2025-09-10T16:42:24.292492+00:00,BTC/USD,bitfinex,113600.0,bitstamp,113720.0,120.0,0.10563380281690139
2025-09-10T16:42:24.292492+00:00,XRP/USD,bitfinex,2.998,kraken,2.99964,0.0016399999999996417,0.054703135423603784
2025-09-10T16:44:24.332052+00:00,XRP/USD,bitfinex,2.9989,kraken,3.0,0.001100000000000101,0.0366801160425523
2025-09-10T16:44:24.332052+00:00,BTC/USD,bitfinex,113740.0,coinbase,113774.92,34.919999999998254,0.03070160014067017
2025-09-10T16:46:24.094893+00:00,XRP/USD,bitfinex,2.9964,kraken,2.99871,0.0023100000000000342,0.077092511013217
2025-09-10T16:46:24.094893+00:00,BTC/USD,bitfinex,113680.0,kraken,113699.4,19.39999999999418,0.017065446868397414
2025-09-10T16:48:24.027508+00:00,XRP/USD,kraken,3.00031,bitstamp,3.00335,0.0030400000000003757,0.10132286330413777
2025-09-10T16:48:24.027508+00:00,BTC/USD,bitfinex,113680.0,bitstamp,113716.0,36.0,0.03166783954961295
2025-09-10T16:50:27.496860+00:00,XRP/USD,bitfinex,3.002,kraken,3.00426,0.0022600000000001508,0.0752831445702915
2025-09-10T16:50:27.496860+00:00,BTC/USD,bitfinex,113650.0,coinbase,113686.88,36.88000000000466,0.03245050593929138
2025-09-10T16:52:25.656235+00:00,BTC/USD,bitfinex,113670.0,coinbase,113729.16,59.16000000000349,0.05204539456321237
2025-09-10T16:52:25.656235+00:00,XRP/USD,bitfinex,3.002,kraken,3.00324,0.0012400000000001299,0.041305796135913724
